"Gene.stable.ID","Gene.name"
"ENSMUSG00000101691","Gm29280"
"ENSMUSG00000100244","Gm29279"
"ENSMUSG00000100694","Gm29182"
"ENSMUSG00000099799","Gm28260"
"ENSMUSG00000101806","Gm28261"
"ENSMUSG00000101632","Gm28264"
"ENSMUSG00000099963","Gm28463"
"ENSMUSG00000101857","Gm21757"
"ENSMUSG00000101836","Gm28968"
"ENSMUSG00000102008","Gm28495"
"ENSMUSG00000100263","Gm28468"
"ENSMUSG00000101425","Gm29255"
"ENSMUSG00000099822","Gm28332"
"ENSMUSG00000099547","Gm28678"
"ENSMUSG00000101781","Gm28333"
"ENSMUSG00000101271","Gm28334"
"ENSMUSG00000099504","Gm28335"
"ENSMUSG00000099782","Gm20903"
"ENSMUSG00000101377","Gm28336"
"ENSMUSG00000101038","Gm28272"
"ENSMUSG00000101709","Gm28337"
"ENSMUSG00000100604","Gm29256"
"ENSMUSG00000099554","Gm28259"
"ENSMUSG00000099814","Gm28338"
"ENSMUSG00000101757","Gm28273"
"ENSMUSG00000101815","Gm29028"
"ENSMUSG00000101538","Gm29029"
"ENSMUSG00000100251","Gm29615"
"ENSMUSG00000100983","Gm29030"
"ENSMUSG00000101820","Gm29023"
"ENSMUSG00000099832","Gm29025"
"ENSMUSG00000101246","Gm29026"
"ENSMUSG00000101382","Gm28213"
"ENSMUSG00000099967","Gm28212"
"ENSMUSG00000100705","Gm28227"
"ENSMUSG00000101157","Gm20905"
"ENSMUSG00000099712","Gm29411"
"ENSMUSG00000099586","Gm28222"
"ENSMUSG00000101879","Gm28820"
"ENSMUSG00000099412","Gm28223"
"ENSMUSG00000101831","Gm29412"
"ENSMUSG00000099601","Gm29671"
"ENSMUSG00000101704","Gm21878"
"ENSMUSG00000101349","Gm28162"
"ENSMUSG00000100140","Gm28789"
"ENSMUSG00000094575","Gm20738"
"ENSMUSG00000101146","Gm20814"
"ENSMUSG00000099499","Gm28787"
"ENSMUSG00000101213","Gm28788"
"ENSMUSG00000100952","Gm28545"
"ENSMUSG00000099730","Gm28547"
"ENSMUSG00000099896","Gm29278"
"ENSMUSG00000101873","Gm28546"
"ENSMUSG00000100260","Gm28608"
"ENSMUSG00000100675","Gm28607"
"ENSMUSG00000099807","Gm28771"
"ENSMUSG00000101435","Gm28772"
"ENSMUSG00000100544","Gm28606"
"ENSMUSG00000100883","Gm28773"
"ENSMUSG00000100902","Gm20850"
"ENSMUSG00000100892","Gm20897"
"ENSMUSG00000100673","Gm29574"
"ENSMUSG00000101050","Gm28774"
"ENSMUSG00000102025","Gm29575"
"ENSMUSG00000099793","Gm28775"
"ENSMUSG00000100699","Gm21765"
"ENSMUSG00000099351","Gm28776"
"ENSMUSG00000101771","Gm28176"
"ENSMUSG00000100719","Gm28786"
"ENSMUSG00000101740","Gm29360"
"ENSMUSG00000100050","Gm28121"
"ENSMUSG00000100588","Gm29497"
"ENSMUSG00000102050","Gm29499"
"ENSMUSG00000101238","Gm28123"
"ENSMUSG00000100406","Gm28120"
"ENSMUSG00000099526","Gm29313"
"ENSMUSG00000101040","Gm29498"
"ENSMUSG00000101272","Gm36782"
"ENSMUSG00000101633","Gm29839"
"ENSMUSG00000101283","Gm29314"
"ENSMUSG00000100907","Gm29310"
"ENSMUSG00000101960","Gm29311"
"ENSMUSG00000101917","Gm29312"
"ENSMUSG00000101205","Gm29308"
"ENSMUSG00000100526","Gm29309"
"ENSMUSG00000101785","Gm28702"
"ENSMUSG00000100149","Gm28701"
"ENSMUSG00000099953","Gm28699"
"ENSMUSG00000102032","Gm28705"
"ENSMUSG00000100823","Gm28704"
"ENSMUSG00000099416","Gm28540"
"ENSMUSG00000099606","Gm28537"
"ENSMUSG00000100063","Gm28538"
"ENSMUSG00000100722","Gm29569"
"ENSMUSG00000096898","Gm20867"
"ENSMUSG00000100366","Gm29568"
"ENSMUSG00000100888","Gm29567"
"ENSMUSG00000100433","Gm21198"
"ENSMUSG00000102111","Gm29566"
"ENSMUSG00000101060","Gm29565"
"ENSMUSG00000099497","Gm29147"
"ENSMUSG00000099479","Gm29146"
"ENSMUSG00000101115","Gm28664"
"ENSMUSG00000100849","Gm28663"
"ENSMUSG00000099742","Gm29148"
"ENSMUSG00000100999","Gm29145"
"ENSMUSG00000101321","Gm28817"
"ENSMUSG00000100328","Gm28816"
"ENSMUSG00000094739","Gm20806"
"ENSMUSG00000102071","Gm28815"
"ENSMUSG00000101804","Gm28813"
"ENSMUSG00000099849","Gm29274"
"ENSMUSG00000100822","Gm29275"
"ENSMUSG00000101471","Gm29276"
"ENSMUSG00000101455","Gm21805"
"ENSMUSG00000099700","Gm29645"
"ENSMUSG00000101811","Gm28312"
"ENSMUSG00000101247","Gm29042"
"ENSMUSG00000100610","Gm29031"
"ENSMUSG00000099408","Gm28311"
"ENSMUSG00000101197","Gm29032"
"ENSMUSG00000101207","Gm28310"
"ENSMUSG00000102016","Gm29606"
"ENSMUSG00000100051","Gm28568"
"ENSMUSG00000101733","Gm29189"
"ENSMUSG00000099977","Gm29286"
"ENSMUSG00000099415","Gm29285"
"ENSMUSG00000100953","Gm28280"
"ENSMUSG00000099734","Gm28159"
"ENSMUSG00000100693","Gm28278"
"ENSMUSG00000100723","Gm28160"
"ENSMUSG00000101981","Gm28157"
"ENSMUSG00000099805","Gm28161"
"ENSMUSG00000101070","Gm28695"
"ENSMUSG00000100286","Gm28696"
"ENSMUSG00000102081","Gm28886"
"ENSMUSG00000099679","Gm28899"
"ENSMUSG00000102031","Gm29426"
"ENSMUSG00000100408","Gm28885"
"ENSMUSG00000102116","Gm28887"
"ENSMUSG00000101637","Gm28896"
"ENSMUSG00000101649","Gm29444"
"ENSMUSG00000095353","Gm21783"
